tdwgCode,WGSRPDName,countryCode,countryName
NSC,Nova Scotia,CA-NS,Canada
ONT,Ontario,CA-ON,Canada
PEI,Prince Edward I.,CA-PE,Prince Edward Island
QUE,Qu�bec,CA-QC,Canada
COL,Colorado,US,United States
IDA,Idaho,US,United States
MNT,Montana,US,United States
ORE,Oregon,US-OR,United States
WAS,Washington,US-WA,United States
WYO,Wyoming,US,United States
ILL,Illinois,US,United States
IOW,Iowa,US,United States
KAN,Kansas,US,United States
MIN,Minnesota,US,United States
MSO,Missouri,US,United States
NDA,North Dakota,US,United States
NEB,Nebraska,US,United States
OKL,Oklahoma,US,United States
SDA,South Dakota,US,United States
WIS,Wisconsin,US,United States
CNT,Connecticut,US,United States
MAI,Maine,US,United States
MAS,Massachusetts,US-MA,United States
MIC,Michigan,US,United States
NWH,New Hampshire,US,United States
NWY,New York,US-NY,United States
OHI,Ohio,US,United States
PEN,Pennsylvania,US,United States
RHO,Rhode I.,US,United States
VER,Vermont,US,United States
WVA,West Virginia,US,United States
ARI,Arizona,US,United States
CAL,California,US,United States
NEV,Nevada,US,United States
UTA,Utah,US,United States
TEX,Texas,US-TX,United States
ALA,Alabama,US,United States
ARK,Arkansas,US,United States
DEL,Delaware,US,United States
FLA,Florida,US,United States
KTY,Kentucky,US,United States
LOU,Louisiana,US,United States
MRY,Maryland,US,United States
MSI,Mississippi,US,United States
NCA,North Carolina,US,United States
SCA,South Carolina,US,United States
TEN,Tennessee,US,United States
VRG,Virginia,US-VA,United States
WDC,District of Columbia,US-DC,United States
MXI,Mexican Pacific Is.,MX,Mexico
CPI,Central American Pacific Is.,CR,Costa Rica
CPI,Central American Pacific Is.,PA,Panama
CAY,Cayman Is.,KY,Cayman Islands
